"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"213","Female","0-2","jpeg-compression",1,"GCP",679.346534653465,682
"214","Female","0-2","jpeg-compression",2,"AWS",420.584158415842,684
"215","Female","0-2","jpeg-compression",2,"Azure",676.386138613861,684
"216","Female","0-2","jpeg-compression",2,"GCP",680.346534653465,682
"217","Female","0-2","jpeg-compression",3,"AWS",346.39603960396,684
"218","Female","0-2","jpeg-compression",3,"Azure",667.376237623762,684
"219","Female","0-2","jpeg-compression",3,"GCP",678.346534653465,682
"220","Female","0-2","jpeg-compression",4,"AWS",191.178217821782,684
"221","Female","0-2","jpeg-compression",4,"Azure",632.341584158416,684
"222","Female","0-2","jpeg-compression",4,"GCP",676.851485148515,682
"223","Female","0-2","jpeg-compression",5,"AWS",102.346534653465,684
"224","Female","0-2","jpeg-compression",5,"Azure",536.826732673267,684
"225","Female","0-2","jpeg-compression",5,"GCP",666.356435643564,682
"226","Female","3-7","gaussian-noise",1,"AWS",871.554455445545,1232
"227","Female","3-7","gaussian-noise",1,"Azure",1141.29702970297,1231
"228","Female","3-7","gaussian-noise",1,"GCP",1206.0099009901,1229
"229","Female","3-7","gaussian-noise",2,"AWS",691.613861386139,1232
"230","Female","3-7","gaussian-noise",2,"Azure",991.148514851485,1231
"231","Female","3-7","gaussian-noise",2,"GCP",1180.64851485149,1229
"232","Female","3-7","gaussian-noise",3,"AWS",430.722772277228,1232
"233","Female","3-7","gaussian-noise",3,"Azure",713.752475247525,1231
"234","Female","3-7","gaussian-noise",3,"GCP",1127.06435643564,1229
"235","Female","3-7","gaussian-noise",4,"AWS",202.772277227723,1232
"236","Female","3-7","gaussian-noise",4,"Azure",326.534653465347,1231
"237","Female","3-7","gaussian-noise",4,"GCP",998.069306930693,1229
"238","Female","3-7","gaussian-noise",5,"AWS",24,1232
"239","Female","3-7","gaussian-noise",5,"Azure",78.5049504950495,1231
"240","Female","3-7","gaussian-noise",5,"GCP",730.069306930693,1229
"241","Female","3-7","shot-noise",1,"AWS",854.712871287129,1232
"242","Female","3-7","shot-noise",1,"Azure",1142.9603960396,1231
"243","Female","3-7","shot-noise",1,"GCP",1202.18811881188,1229
"244","Female","3-7","shot-noise",2,"AWS",644.079207920792,1232
"245","Female","3-7","shot-noise",2,"Azure",986.643564356436,1231
"246","Female","3-7","shot-noise",2,"GCP",1176.98514851485,1229
"247","Female","3-7","shot-noise",3,"AWS",423.188118811881,1232
"248","Female","3-7","shot-noise",3,"Azure",622.544554455446,1231
"249","Female","3-7","shot-noise",3,"GCP",1143.4801980198,1229
"250","Female","3-7","shot-noise",4,"AWS",161.009900990099,1232
"251","Female","3-7","shot-noise",4,"Azure",240.009900990099,1231
"252","Female","3-7","shot-noise",4,"GCP",994.995049504951,1229
"253","Female","3-7","shot-noise",5,"AWS",49.5049504950495,1232
