"","Skin.Type","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"99","Lighter","Feminine","19-45","Bright","zoom-blur",3,"GCP",346.054455445545,1353
"100","Lighter","Feminine","19-45","Bright","zoom-blur",4,"AWS",237.049504950495,1357
"101","Lighter","Feminine","19-45","Bright","zoom-blur",4,"Azure",191.455445544554,1357
"102","Lighter","Feminine","19-45","Bright","zoom-blur",4,"GCP",165.673267326733,1353
"103","Lighter","Feminine","19-45","Bright","zoom-blur",5,"AWS",476.757425742574,1357
"104","Lighter","Feminine","19-45","Bright","zoom-blur",5,"Azure",411.156765676568,1357
"105","Lighter","Feminine","19-45","Bright","zoom-blur",5,"GCP",169.554455445545,1353
"106","Lighter","Feminine","19-45","Bright","snow",1,"AWS",1348.69306930693,1357
"107","Lighter","Feminine","19-45","Bright","snow",1,"Azure",1341.4900990099,1357
"108","Lighter","Feminine","19-45","Bright","snow",1,"GCP",1333.26237623762,1353
"109","Lighter","Feminine","19-45","Bright","snow",2,"AWS",1339.91089108911,1357
"110","Lighter","Feminine","19-45","Bright","snow",2,"Azure",1287.62211221122,1357
"111","Lighter","Feminine","19-45","Bright","snow",2,"GCP",1291.67326732673,1353
"112","Lighter","Feminine","19-45","Bright","snow",3,"AWS",1305.44554455446,1357
"113","Lighter","Feminine","19-45","Bright","snow",3,"Azure",1305.16171617162,1357
"114","Lighter","Feminine","19-45","Bright","snow",3,"GCP",1212.62376237624,1353
"115","Lighter","Feminine","19-45","Bright","snow",4,"AWS",1238.96534653465,1357
"116","Lighter","Feminine","19-45","Bright","snow",4,"Azure",1257.97524752475,1357
"117","Lighter","Feminine","19-45","Bright","snow",4,"GCP",1082.19801980198,1353
"118","Lighter","Feminine","19-45","Bright","snow",5,"AWS",1293.38118811881,1357
"119","Lighter","Feminine","19-45","Bright","snow",5,"Azure",1234.39108910891,1357
"120","Lighter","Feminine","19-45","Bright","snow",5,"GCP",1250.39603960396,1353
"121","Lighter","Feminine","19-45","Bright","frost",1,"AWS",1352.52475247525,1357
"122","Lighter","Feminine","19-45","Bright","frost",1,"Azure",1345.47689768977,1357
"123","Lighter","Feminine","19-45","Bright","frost",1,"GCP",1335.68316831683,1353
"124","Lighter","Feminine","19-45","Bright","frost",2,"AWS",1320.10891089109,1357
"125","Lighter","Feminine","19-45","Bright","frost",2,"Azure",1305.90594059406,1357
"126","Lighter","Feminine","19-45","Bright","frost",2,"GCP",1254.87623762376,1353
"127","Lighter","Feminine","19-45","Bright","frost",3,"AWS",1263.33168316832,1357
"128","Lighter","Feminine","19-45","Bright","frost",3,"Azure",1230.4900990099,1357
"129","Lighter","Feminine","19-45","Bright","frost",3,"GCP",1135.55445544554,1353
"130","Lighter","Feminine","19-45","Bright","frost",4,"AWS",1239.84158415842,1357
"131","Lighter","Feminine","19-45","Bright","frost",4,"Azure",1223.68811881188,1357
"132","Lighter","Feminine","19-45","Bright","frost",4,"GCP",1097.86138613861,1353
"133","Lighter","Feminine","19-45","Bright","frost",5,"AWS",1173.66831683168,1357
"134","Lighter","Feminine","19-45","Bright","frost",5,"Azure",1134.87128712871,1357
"135","Lighter","Feminine","19-45","Bright","frost",5,"GCP",951.163366336634,1353
"136","Lighter","Feminine","19-45","Bright","fog",1,"AWS",1356.16831683168,1357
"137","Lighter","Feminine","19-45","Bright","fog",1,"Azure",1350.36798679868,1357
"138","Lighter","Feminine","19-45","Bright","fog",1,"GCP",1333.9504950495,1353
"139","Lighter","Feminine","19-45","Bright","fog",2,"AWS",1356.16831683168,1357
"140","Lighter","Feminine","19-45","Bright","fog",2,"Azure",1348.87293729373,1357
"141","Lighter","Feminine","19-45","Bright","fog",2,"GCP",1328.29702970297,1353
"142","Lighter","Feminine","19-45","Bright","fog",3,"AWS",1355.83168316832,1357
"143","Lighter","Feminine","19-45","Bright","fog",3,"Azure",1348.04620462046,1357
"144","Lighter","Feminine","19-45","Bright","fog",3,"GCP",1311.76732673267,1353
"145","Lighter","Feminine","19-45","Bright","fog",4,"AWS",1355.33663366337,1357
"146","Lighter","Feminine","19-45","Bright","fog",4,"Azure",1346.80528052805,1357
"147","Lighter","Feminine","19-45","Bright","fog",4,"GCP",1298.52475247525,1353
"148","Lighter","Feminine","19-45","Bright","fog",5,"AWS",1351.26237623762,1357
"149","Lighter","Feminine","19-45","Bright","fog",5,"Azure",1346.88943894389,1357
"150","Lighter","Feminine","19-45","Bright","fog",5,"GCP",1256.91584158416,1353
"151","Lighter","Feminine","19-45","Bright","brightness",1,"AWS",1357,1357
"152","Lighter","Feminine","19-45","Bright","brightness",1,"Azure",1353.68646864686,1357
"153","Lighter","Feminine","19-45","Bright","brightness",1,"GCP",1350.93069306931,1353
"154","Lighter","Feminine","19-45","Bright","brightness",2,"AWS",1356.16831683168,1357
"155","Lighter","Feminine","19-45","Bright","brightness",2,"Azure",1351.20132013201,1357
"156","Lighter","Feminine","19-45","Bright","brightness",2,"GCP",1349.94059405941,1353
"157","Lighter","Feminine","19-45","Bright","brightness",3,"AWS",1356.16831683168,1357
"158","Lighter","Feminine","19-45","Bright","brightness",3,"Azure",1350.96122112211,1357
"159","Lighter","Feminine","19-45","Bright","brightness",3,"GCP",1349.69306930693,1353
"160","Lighter","Feminine","19-45","Bright","brightness",4,"AWS",1357,1357
"161","Lighter","Feminine","19-45","Bright","brightness",4,"Azure",1349.49504950495,1357
"162","Lighter","Feminine","19-45","Bright","brightness",4,"GCP",1347.37623762376,1353
"163","Lighter","Feminine","19-45","Bright","brightness",5,"AWS",1355.32673267327,1357
"164","Lighter","Feminine","19-45","Bright","brightness",5,"Azure",1348.56435643564,1357
"165","Lighter","Feminine","19-45","Bright","brightness",5,"GCP",1340.21287128713,1353
"166","Lighter","Feminine","19-45","Bright","contrast",1,"AWS",1356.16831683168,1357
"167","Lighter","Feminine","19-45","Bright","contrast",1,"Azure",1348.37293729373,1357
"168","Lighter","Feminine","19-45","Bright","contrast",1,"GCP",1331.28712871287,1353
"169","Lighter","Feminine","19-45","Bright","contrast",2,"AWS",1355.83168316832,1357
"170","Lighter","Feminine","19-45","Bright","contrast",2,"Azure",1348.20132013201,1357
"171","Lighter","Feminine","19-45","Bright","contrast",2,"GCP",1335.71782178218,1353
"172","Lighter","Feminine","19-45","Bright","contrast",3,"AWS",1354.50495049505,1357
"173","Lighter","Feminine","19-45","Bright","contrast",3,"Azure",1345.38283828383,1357
"174","Lighter","Feminine","19-45","Bright","contrast",3,"GCP",1314.06930693069,1353
"175","Lighter","Feminine","19-45","Bright","contrast",4,"AWS",1332.43564356436,1357
"176","Lighter","Feminine","19-45","Bright","contrast",4,"Azure",1329.13861386139,1357
"177","Lighter","Feminine","19-45","Bright","contrast",4,"GCP",1003.59405940594,1353
"178","Lighter","Feminine","19-45","Bright","contrast",5,"AWS",1162.10891089109,1357
"179","Lighter","Feminine","19-45","Bright","contrast",5,"Azure",1176.87128712871,1357
"180","Lighter","Feminine","19-45","Bright","contrast",5,"GCP",104.059405940594,1353
"181","Lighter","Feminine","19-45","Bright","elastic-transform",1,"AWS",391.529702970297,1357
"182","Lighter","Feminine","19-45","Bright","elastic-transform",1,"Azure",400.371287128713,1357
"183","Lighter","Feminine","19-45","Bright","elastic-transform",1,"GCP",654.272277227723,1353
"184","Lighter","Feminine","19-45","Bright","elastic-transform",2,"AWS",117.866336633663,1357
"185","Lighter","Feminine","19-45","Bright","elastic-transform",2,"Azure",125.549504950495,1357
"186","Lighter","Feminine","19-45","Bright","elastic-transform",2,"GCP",236.009900990099,1353
"187","Lighter","Feminine","19-45","Bright","elastic-transform",3,"AWS",1327.23927392739,1357
"188","Lighter","Feminine","19-45","Bright","elastic-transform",3,"Azure",1321.76732673267,1357
"189","Lighter","Feminine","19-45","Bright","elastic-transform",3,"GCP",1346.35148514851,1353
"190","Lighter","Feminine","19-45","Bright","elastic-transform",4,"AWS",1328.98679867987,1357
"191","Lighter","Feminine","19-45","Bright","elastic-transform",4,"Azure",1321.67821782178,1357
"192","Lighter","Feminine","19-45","Bright","elastic-transform",4,"GCP",1342.31683168317,1353
"193","Lighter","Feminine","19-45","Bright","elastic-transform",5,"AWS",1324.62871287129,1357
"194","Lighter","Feminine","19-45","Bright","elastic-transform",5,"Azure",1312.38448844884,1357
"195","Lighter","Feminine","19-45","Bright","elastic-transform",5,"GCP",1325.54125412541,1353
"196","Lighter","Feminine","19-45","Bright","pixelate",1,"AWS",1356.66336633663,1357
"197","Lighter","Feminine","19-45","Bright","pixelate",1,"Azure",1355.01485148515,1357
"198","Lighter","Feminine","19-45","Bright","pixelate",1,"GCP",1352.0099009901,1353
"199","Lighter","Feminine","19-45","Bright","pixelate",2,"AWS",1356.66336633663,1357
"200","Lighter","Feminine","19-45","Bright","pixelate",2,"Azure",1353.34158415842,1357
"201","Lighter","Feminine","19-45","Bright","pixelate",2,"GCP",1349.33663366337,1353
"202","Lighter","Feminine","19-45","Bright","pixelate",3,"AWS",1356.66336633663,1357
"203","Lighter","Feminine","19-45","Bright","pixelate",3,"Azure",1350.34323432343,1357
"204","Lighter","Feminine","19-45","Bright","pixelate",3,"GCP",1349.09900990099,1353
"205","Lighter","Feminine","19-45","Bright","pixelate",4,"AWS",1354.50495049505,1357
"206","Lighter","Feminine","19-45","Bright","pixelate",4,"Azure",1346.0495049505,1357
"207","Lighter","Feminine","19-45","Bright","pixelate",4,"GCP",1346.10231023102,1353
"208","Lighter","Feminine","19-45","Bright","pixelate",5,"AWS",1103.0495049505,1357
"209","Lighter","Feminine","19-45","Bright","pixelate",5,"Azure",1302.72277227723,1357
"210","Lighter","Feminine","19-45","Bright","pixelate",5,"GCP",1290.80693069307,1353
"211","Lighter","Feminine","19-45","Bright","jpeg-compression",1,"AWS",1356.66336633663,1357
"212","Lighter","Feminine","19-45","Bright","jpeg-compression",1,"Azure",1350.37128712871,1357
"213","Lighter","Feminine","19-45","Bright","jpeg-compression",1,"GCP",1350.50825082508,1353
"214","Lighter","Feminine","19-45","Bright","jpeg-compression",2,"AWS",1356.66336633663,1357
"215","Lighter","Feminine","19-45","Bright","jpeg-compression",2,"Azure",1349.04290429043,1357
"216","Lighter","Feminine","19-45","Bright","jpeg-compression",2,"GCP",1351.67326732673,1353
"217","Lighter","Feminine","19-45","Bright","jpeg-compression",3,"AWS",1355.83168316832,1357
"218","Lighter","Feminine","19-45","Bright","jpeg-compression",3,"Azure",1350.04455445545,1357
"219","Lighter","Feminine","19-45","Bright","jpeg-compression",3,"GCP",1350.93069306931,1353
"220","Lighter","Feminine","19-45","Bright","jpeg-compression",4,"AWS",1355.50495049505,1357
"221","Lighter","Feminine","19-45","Bright","jpeg-compression",4,"Azure",1345.55940594059,1357
"222","Lighter","Feminine","19-45","Bright","jpeg-compression",4,"GCP",1348.60396039604,1353
"223","Lighter","Feminine","19-45","Bright","jpeg-compression",5,"AWS",1353.51485148515,1357
"224","Lighter","Feminine","19-45","Bright","jpeg-compression",5,"Azure",1343.57425742574,1357
"225","Lighter","Feminine","19-45","Bright","jpeg-compression",5,"GCP",1344.61386138614,1353
"226","Lighter","Feminine","19-45","Dim","gaussian-noise",1,"AWS",458.990099009901,461
"227","Lighter","Feminine","19-45","Dim","gaussian-noise",1,"Azure",448.529702970297,461
"228","Lighter","Feminine","19-45","Dim","gaussian-noise",1,"GCP",454.50495049505,458
"229","Lighter","Feminine","19-45","Dim","gaussian-noise",2,"AWS",456.168316831683,461
"230","Lighter","Feminine","19-45","Dim","gaussian-noise",2,"Azure",428.20297029703,461
"231","Lighter","Feminine","19-45","Dim","gaussian-noise",2,"GCP",443.084158415842,458
"232","Lighter","Feminine","19-45","Dim","gaussian-noise",3,"AWS",444.673267326733,461
"233","Lighter","Feminine","19-45","Dim","gaussian-noise",3,"Azure",325.985148514851,461
"234","Lighter","Feminine","19-45","Dim","gaussian-noise",3,"GCP",417.589108910891,458
"235","Lighter","Feminine","19-45","Dim","gaussian-noise",4,"AWS",422.678217821782,461
"236","Lighter","Feminine","19-45","Dim","gaussian-noise",4,"Azure",147.009900990099,461
"237","Lighter","Feminine","19-45","Dim","gaussian-noise",4,"GCP",358.514851485149,458
"238","Lighter","Feminine","19-45","Dim","gaussian-noise",5,"AWS",352.712871287129,461
"239","Lighter","Feminine","19-45","Dim","gaussian-noise",5,"Azure",20,461
"240","Lighter","Feminine","19-45","Dim","gaussian-noise",5,"GCP",200.767326732673,458
"241","Lighter","Feminine","19-45","Dim","shot-noise",1,"AWS",460.168316831683,461
"242","Lighter","Feminine","19-45","Dim","shot-noise",1,"Azure",458.00495049505,461
"243","Lighter","Feminine","19-45","Dim","shot-noise",1,"GCP",458,458
"244","Lighter","Feminine","19-45","Dim","shot-noise",2,"AWS",458.49504950495,461
"245","Lighter","Feminine","19-45","Dim","shot-noise",2,"Azure",454.524752475248,461
"246","Lighter","Feminine","19-45","Dim","shot-noise",2,"GCP",455.663366336634,458
"247","Lighter","Feminine","19-45","Dim","shot-noise",3,"AWS",458.168316831683,461
"248","Lighter","Feminine","19-45","Dim","shot-noise",3,"Azure",445.386138613861,461
"249","Lighter","Feminine","19-45","Dim","shot-noise",3,"GCP",453.50495049505,458
"250","Lighter","Feminine","19-45","Dim","shot-noise",4,"AWS",455.168316831683,461
