"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"106","Predominantly Feminine","Young","defocus-blur",3,"MogFace",1119.99693069307,1394
"107","Predominantly Feminine","Young","defocus-blur",3,"TinaFace",1022.43465346535,1347
"108","Predominantly Feminine","Young","defocus-blur",3,"Yolov5",1058.90786225852,1468
"109","Predominantly Feminine","Young","defocus-blur",4,"AWS",1040.14455445545,1370
"110","Predominantly Feminine","Young","defocus-blur",4,"Azure",970.649504950495,1293
"111","Predominantly Feminine","Young","defocus-blur",4,"GCP",861.246534653465,1271
"112","Predominantly Feminine","Young","defocus-blur",4,"MogFace",1048.99306930693,1394
"113","Predominantly Feminine","Young","defocus-blur",4,"TinaFace",935.137128712871,1347
"114","Predominantly Feminine","Young","defocus-blur",4,"Yolov5",987.845496424642,1468
"115","Predominantly Feminine","Young","defocus-blur",5,"AWS",960.806930693069,1370
"116","Predominantly Feminine","Young","defocus-blur",5,"Azure",903.20099009901,1293
"117","Predominantly Feminine","Young","defocus-blur",5,"GCP",771.663366336634,1271
"118","Predominantly Feminine","Young","defocus-blur",5,"MogFace",984.310891089109,1394
"119","Predominantly Feminine","Young","defocus-blur",5,"TinaFace",841.431188118812,1347
"120","Predominantly Feminine","Young","defocus-blur",5,"Yolov5",917.361518151815,1468
"121","Predominantly Feminine","Young","glass-blur",1,"AWS",1313.26920320603,1370
"122","Predominantly Feminine","Young","glass-blur",1,"Azure",1238.81122112211,1293
"123","Predominantly Feminine","Young","glass-blur",1,"GCP",1205.03217821782,1271
"124","Predominantly Feminine","Young","glass-blur",1,"MogFace",1297.81201791608,1394
"125","Predominantly Feminine","Young","glass-blur",1,"TinaFace",1242.7121369637,1347
"126","Predominantly Feminine","Young","glass-blur",1,"Yolov5",1258.50646574498,1468
"127","Predominantly Feminine","Young","glass-blur",2,"AWS",1292.42957603453,1370
"128","Predominantly Feminine","Young","glass-blur",2,"Azure",1220.56270627063,1293
"129","Predominantly Feminine","Young","glass-blur",2,"GCP",1188.95198019802,1271
"130","Predominantly Feminine","Young","glass-blur",2,"MogFace",1274.32262926293,1394
"131","Predominantly Feminine","Young","glass-blur",2,"TinaFace",1214.96483709909,1347
"132","Predominantly Feminine","Young","glass-blur",2,"Yolov5",1224.86852645478,1468
"133","Predominantly Feminine","Young","glass-blur",3,"AWS",1274.80590342001,1370
"134","Predominantly Feminine","Young","glass-blur",3,"Azure",1205.49310231023,1293
"135","Predominantly Feminine","Young","glass-blur",3,"GCP",1170.24336633663,1271
"136","Predominantly Feminine","Young","glass-blur",3,"MogFace",1259.72446033614,1394
"137","Predominantly Feminine","Young","glass-blur",3,"TinaFace",1201.31076392255,1347
"138","Predominantly Feminine","Young","glass-blur",3,"Yolov5",1201.52073527473,1468
"139","Predominantly Feminine","Young","glass-blur",4,"AWS",1260.93539800409,1370
"140","Predominantly Feminine","Young","glass-blur",4,"Azure",1197.77590759076,1293
"141","Predominantly Feminine","Young","glass-blur",4,"GCP",1154.40762376238,1271
"142","Predominantly Feminine","Young","glass-blur",4,"MogFace",1245.08157647633,1394
"143","Predominantly Feminine","Young","glass-blur",4,"TinaFace",1190.94272592094,1347
"144","Predominantly Feminine","Young","glass-blur",4,"Yolov5",1190.68039997502,1468
"145","Predominantly Feminine","Young","glass-blur",5,"AWS",1209.99232673267,1370
"146","Predominantly Feminine","Young","glass-blur",5,"Azure",1156.58184818482,1293
"147","Predominantly Feminine","Young","glass-blur",5,"GCP",1087.04059405941,1271
"148","Predominantly Feminine","Young","glass-blur",5,"MogFace",1198.56397218293,1394
"149","Predominantly Feminine","Young","glass-blur",5,"TinaFace",1143.3383922678,1347
"150","Predominantly Feminine","Young","glass-blur",5,"Yolov5",1144.93049618055,1468
"151","Predominantly Feminine","Young","motion-blur",1,"AWS",1211.74334276285,1370
"152","Predominantly Feminine","Young","motion-blur",1,"Azure",1165.37917491749,1293
"153","Predominantly Feminine","Young","motion-blur",1,"GCP",1146.86237623762,1271
"154","Predominantly Feminine","Young","motion-blur",1,"MogFace",1213.74712678411,1394
"155","Predominantly Feminine","Young","motion-blur",1,"TinaFace",1152.25187647336,1347
"156","Predominantly Feminine","Young","motion-blur",1,"Yolov5",1163.11088422385,1468
"157","Predominantly Feminine","Young","motion-blur",2,"AWS",1105.64595159516,1370
"158","Predominantly Feminine","Young","motion-blur",2,"Azure",1068.04567656766,1293
"159","Predominantly Feminine","Young","motion-blur",2,"GCP",1060.64405940594,1271
"160","Predominantly Feminine","Young","motion-blur",2,"MogFace",1111.81332979727,1394
"161","Predominantly Feminine","Young","motion-blur",2,"TinaFace",1058.6222479748,1347
