"","SkinType","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"218","Lighter","Feminine","19-45","Bright","snow",2,"Azure",1148.8900990099,1357
"219","Lighter","Feminine","19-45","Bright","snow",2,"GCP",1230.71881188119,1353
"220","Lighter","Feminine","19-45","Bright","snow",2,"MogFace",1144.69306930693,1358
"221","Lighter","Feminine","19-45","Bright","snow",2,"TinaFace",1230.93613861386,1358
"222","Lighter","Feminine","19-45","Bright","snow",2,"Yolov5",1163.41914191419,1358
"223","Lighter","Feminine","19-45","Bright","snow",3,"AWS",1169.65148514851,1357
"224","Lighter","Feminine","19-45","Bright","snow",3,"Azure",1161.15396039604,1357
"225","Lighter","Feminine","19-45","Bright","snow",3,"GCP",1146.57722772277,1353
"226","Lighter","Feminine","19-45","Bright","snow",3,"MogFace",1084.32260726073,1358
"227","Lighter","Feminine","19-45","Bright","snow",3,"TinaFace",1135.8602310231,1358
"228","Lighter","Feminine","19-45","Bright","snow",3,"Yolov5",1126.60231023102,1358
"229","Lighter","Feminine","19-45","Bright","snow",4,"AWS",1080.82574257426,1357
"230","Lighter","Feminine","19-45","Bright","snow",4,"Azure",1099.90544554455,1357
"231","Lighter","Feminine","19-45","Bright","snow",4,"GCP",988.557425742574,1353
"232","Lighter","Feminine","19-45","Bright","snow",4,"MogFace",979.11798679868,1358
"233","Lighter","Feminine","19-45","Bright","snow",4,"TinaFace",984.963366336633,1358
"234","Lighter","Feminine","19-45","Bright","snow",4,"Yolov5",1066.950330033,1358
"235","Lighter","Feminine","19-45","Bright","snow",5,"AWS",1173.43168316832,1357
"236","Lighter","Feminine","19-45","Bright","snow",5,"Azure",1086.37673267327,1357
"237","Lighter","Feminine","19-45","Bright","snow",5,"GCP",1175.77871287129,1353
"238","Lighter","Feminine","19-45","Bright","snow",5,"MogFace",1091.64059405941,1358
"239","Lighter","Feminine","19-45","Bright","snow",5,"TinaFace",1156.34207920792,1358
"240","Lighter","Feminine","19-45","Bright","snow",5,"Yolov5",1136.55867986799,1358
"241","Lighter","Feminine","19-45","Bright","frost",1,"AWS",1314.03910891089,1357
"242","Lighter","Feminine","19-45","Bright","frost",1,"Azure",1287.1103960396,1357
"243","Lighter","Feminine","19-45","Bright","frost",1,"GCP",1310.45165016502,1353
"244","Lighter","Feminine","19-45","Bright","frost",1,"MogFace",1322.75,1358
"245","Lighter","Feminine","19-45","Bright","frost",1,"TinaFace",1319.22326732673,1358
"246","Lighter","Feminine","19-45","Bright","frost",1,"Yolov5",1255.1397689769,1358
"247","Lighter","Feminine","19-45","Bright","frost",2,"AWS",1231.6896039604,1357
"248","Lighter","Feminine","19-45","Bright","frost",2,"Azure",1195.62904290429,1357
"249","Lighter","Feminine","19-45","Bright","frost",2,"GCP",1199.38267326733,1353
"250","Lighter","Feminine","19-45","Bright","frost",2,"MogFace",1240.26138613861,1358
"251","Lighter","Feminine","19-45","Bright","frost",2,"TinaFace",1230.69950495049,1358
"252","Lighter","Feminine","19-45","Bright","frost",2,"Yolov5",1178.00031353135,1358
"253","Lighter","Feminine","19-45","Bright","frost",3,"AWS",1161.06485148515,1357
"254","Lighter","Feminine","19-45","Bright","frost",3,"Azure",1103.71534653465,1357
"255","Lighter","Feminine","19-45","Bright","frost",3,"GCP",1076.75792079208,1353
"256","Lighter","Feminine","19-45","Bright","frost",3,"MogFace",1159.54422442244,1358
"257","Lighter","Feminine","19-45","Bright","frost",3,"TinaFace",1150.64686468647,1358
"258","Lighter","Feminine","19-45","Bright","frost",3,"Yolov5",1119.84595709571,1358
"259","Lighter","Feminine","19-45","Bright","frost",4,"AWS",1134.5196369637,1357
"260","Lighter","Feminine","19-45","Bright","frost",4,"Azure",1096.5498349835,1357
"261","Lighter","Feminine","19-45","Bright","frost",4,"GCP",1033.69950495049,1353
"262","Lighter","Feminine","19-45","Bright","frost",4,"MogFace",1142.56584158416,1358
"263","Lighter","Feminine","19-45","Bright","frost",4,"TinaFace",1138.81287128713,1358
"264","Lighter","Feminine","19-45","Bright","frost",4,"Yolov5",1107.88982791136,1358
"265","Lighter","Feminine","19-45","Bright","frost",5,"AWS",1052.43811881188,1357
"266","Lighter","Feminine","19-45","Bright","frost",5,"Azure",1000.19059405941,1357
"267","Lighter","Feminine","19-45","Bright","frost",5,"GCP",893.332508250825,1353
"268","Lighter","Feminine","19-45","Bright","frost",5,"MogFace",1061.1798679868,1358
"269","Lighter","Feminine","19-45","Bright","frost",5,"TinaFace",1048.6396039604,1358
"270","Lighter","Feminine","19-45","Bright","frost",5,"Yolov5",1039.30364214993,1358
"271","Lighter","Feminine","19-45","Bright","fog",1,"AWS",1348.96336633663,1357
"272","Lighter","Feminine","19-45","Bright","fog",1,"Azure",1333.85693069307,1357
"273","Lighter","Feminine","19-45","Bright","fog",1,"GCP",1320.94818481848,1353
"274","Lighter","Feminine","19-45","Bright","fog",1,"MogFace",1351.5801980198,1358
"275","Lighter","Feminine","19-45","Bright","fog",1,"TinaFace",1343.45346534653,1358
"276","Lighter","Feminine","19-45","Bright","fog",1,"Yolov5",1283.69737152287,1358
"277","Lighter","Feminine","19-45","Bright","fog",2,"AWS",1345.48861386139,1357
"278","Lighter","Feminine","19-45","Bright","fog",2,"Azure",1325.60792079208,1357
"279","Lighter","Feminine","19-45","Bright","fog",2,"GCP",1312.06732673267,1353
"280","Lighter","Feminine","19-45","Bright","fog",2,"MogFace",1345.74554455446,1358
"281","Lighter","Feminine","19-45","Bright","fog",2,"TinaFace",1339.58217821782,1358
"282","Lighter","Feminine","19-45","Bright","fog",2,"Yolov5",1272.81105610561,1358
"283","Lighter","Feminine","19-45","Bright","fog",3,"AWS",1338.74851485148,1357
"284","Lighter","Feminine","19-45","Bright","fog",3,"Azure",1316.93531353135,1357
"285","Lighter","Feminine","19-45","Bright","fog",3,"GCP",1291.66782178218,1353
"286","Lighter","Feminine","19-45","Bright","fog",3,"MogFace",1338.66485148515,1358
"287","Lighter","Feminine","19-45","Bright","fog",3,"TinaFace",1333.45643564356,1358
"288","Lighter","Feminine","19-45","Bright","fog",3,"Yolov5",1263.42865393682,1358
"289","Lighter","Feminine","19-45","Bright","fog",4,"AWS",1335.13366336634,1357
"290","Lighter","Feminine","19-45","Bright","fog",4,"Azure",1315.44323432343,1357
"291","Lighter","Feminine","19-45","Bright","fog",4,"GCP",1278.90544554455,1353
"292","Lighter","Feminine","19-45","Bright","fog",4,"MogFace",1336.62376237624,1358
"293","Lighter","Feminine","19-45","Bright","fog",4,"TinaFace",1333.54306930693,1358
"294","Lighter","Feminine","19-45","Bright","fog",4,"Yolov5",1261.00363036304,1358
"295","Lighter","Feminine","19-45","Bright","fog",5,"AWS",1314.45099009901,1357
"296","Lighter","Feminine","19-45","Bright","fog",5,"Azure",1300.41105610561,1357
"297","Lighter","Feminine","19-45","Bright","fog",5,"GCP",1232.73184818482,1353
"298","Lighter","Feminine","19-45","Bright","fog",5,"MogFace",1324.52277227723,1358
"299","Lighter","Feminine","19-45","Bright","fog",5,"TinaFace",1323.47425742574,1358
"300","Lighter","Feminine","19-45","Bright","fog",5,"Yolov5",1244.88193069307,1358
"301","Lighter","Feminine","19-45","Bright","brightness",1,"AWS",1355.54504950495,1357
"302","Lighter","Feminine","19-45","Bright","brightness",1,"Azure",1351.22508250825,1357
"303","Lighter","Feminine","19-45","Bright","brightness",1,"GCP",1345.04372937294,1353
"304","Lighter","Feminine","19-45","Bright","brightness",1,"MogFace",1356.56485148515,1358
"305","Lighter","Feminine","19-45","Bright","brightness",1,"TinaFace",1353.85148514851,1358
"306","Lighter","Feminine","19-45","Bright","brightness",1,"Yolov5",1331.80915841584,1358
"307","Lighter","Feminine","19-45","Bright","brightness",2,"AWS",1353.76485148515,1357
