"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"174","0-2","Female","motion-blur",4,"Yolov5",458.335148514851,684
"175","0-2","Female","motion-blur",5,"AWS",366.524257425743,684
"176","0-2","Female","motion-blur",5,"Azure",470.5,684
"177","0-2","Female","motion-blur",5,"GCP",534.269306930693,682
"178","0-2","Female","motion-blur",5,"MogFace",467.739603960396,684
"179","0-2","Female","motion-blur",5,"TinaFace",113.439603960396,619
"180","0-2","Female","motion-blur",5,"Yolov5",415.083745874587,684
"181","0-2","Female","zoom-blur",1,"AWS",472.635643564356,684
"182","0-2","Female","zoom-blur",1,"Azure",563.329702970297,684
"183","0-2","Female","zoom-blur",1,"GCP",618.078217821782,682
"184","0-2","Female","zoom-blur",1,"MogFace",590.997524752475,684
"185","0-2","Female","zoom-blur",1,"TinaFace",452.603465346535,619
"186","0-2","Female","zoom-blur",1,"Yolov5",557.739438943894,684
"187","0-2","Female","zoom-blur",2,"AWS",431.123927392739,684
"188","0-2","Female","zoom-blur",2,"Azure",517.833663366337,684
"189","0-2","Female","zoom-blur",2,"GCP",597.732673267327,682
"190","0-2","Female","zoom-blur",2,"MogFace",554.651485148515,684
"191","0-2","Female","zoom-blur",2,"TinaFace",357.594059405941,619
"192","0-2","Female","zoom-blur",2,"Yolov5",525.319801980198,684
"193","0-2","Female","zoom-blur",3,"AWS",410.628712871287,684
"194","0-2","Female","zoom-blur",3,"Azure",481.656435643564,684
"195","0-2","Female","zoom-blur",3,"GCP",564.882178217822,682
"196","0-2","Female","zoom-blur",3,"MogFace",524.281188118812,684
"197","0-2","Female","zoom-blur",3,"TinaFace",289.887128712871,619
"198","0-2","Female","zoom-blur",3,"Yolov5",500.514686468647,684
"199","0-2","Female","zoom-blur",4,"AWS",386.8699669967,684
"200","0-2","Female","zoom-blur",4,"Azure",441.074257425742,684
"201","0-2","Female","zoom-blur",4,"GCP",543.048514851485,682
"202","0-2","Female","zoom-blur",4,"MogFace",491.135148514851,684
"203","0-2","Female","zoom-blur",4,"TinaFace",234.848514851485,619
"204","0-2","Female","zoom-blur",4,"Yolov5",470.048349834983,684
"205","0-2","Female","zoom-blur",5,"AWS",362.963366336634,684
"206","0-2","Female","zoom-blur",5,"Azure",398.50099009901,684
"207","0-2","Female","zoom-blur",5,"GCP",508.152475247525,682
"208","0-2","Female","zoom-blur",5,"MogFace",455.464356435643,684
"209","0-2","Female","zoom-blur",5,"TinaFace",153.809900990099,619
"210","0-2","Female","zoom-blur",5,"Yolov5",444.701815181518,684
"211","0-2","Female","snow",1,"AWS",388.111386138614,684
"212","0-2","Female","snow",1,"Azure",586.106435643564,684
"213","0-2","Female","snow",1,"GCP",526.805940594059,682
"214","0-2","Female","snow",1,"MogFace",547.317821782178,684
"215","0-2","Female","snow",1,"TinaFace",425.300495049505,619
"216","0-2","Female","snow",1,"Yolov5",540.511994342291,684
"217","0-2","Female","snow",2,"AWS",308.394059405941,684
"218","0-2","Female","snow",2,"Azure",491.086633663366,684
"219","0-2","Female","snow",2,"GCP",395.406930693069,682
"220","0-2","Female","snow",2,"MogFace",449.310891089109,684
"221","0-2","Female","snow",2,"TinaFace",193.275247524752,619
"222","0-2","Female","snow",2,"Yolov5",437.241584158416,684
"223","0-2","Female","snow",3,"AWS",319.44504950495,684
"224","0-2","Female","snow",3,"Azure",510.918316831683,684
"225","0-2","Female","snow",3,"GCP",187.427227722772,682
"226","0-2","Female","snow",3,"MogFace",489.858415841584,684
"227","0-2","Female","snow",3,"TinaFace",262.392904290429,619
"228","0-2","Female","snow",3,"Yolov5",478.896204620462,684
"229","0-2","Female","snow",4,"AWS",244.841584158416,684
"230","0-2","Female","snow",4,"Azure",444.99504950495,684
"231","0-2","Female","snow",4,"GCP",69.7074257425742,682
"232","0-2","Female","snow",4,"MogFace",418.05297029703,684
"233","0-2","Female","snow",4,"TinaFace",171.901485148515,619
"234","0-2","Female","snow",4,"Yolov5",419.402310231023,684
"235","0-2","Female","snow",5,"AWS",267.980198019802,684
"236","0-2","Female","snow",5,"Azure",382.863366336634,684
"237","0-2","Female","snow",5,"GCP",208.246534653465,682
"238","0-2","Female","snow",5,"MogFace",420.50297029703,684
"239","0-2","Female","snow",5,"TinaFace",71.5237623762376,619
"240","0-2","Female","snow",5,"Yolov5",368.614752475247,684
"241","0-2","Female","frost",1,"AWS",440.012871287129,684
"242","0-2","Female","frost",1,"Azure",593.495544554455,684
"243","0-2","Female","frost",1,"GCP",639.360396039604,682
"244","0-2","Female","frost",1,"MogFace",616.469306930693,684
"245","0-2","Female","frost",1,"TinaFace",375.131518151815,619
"246","0-2","Female","frost",1,"Yolov5",533.099422442244,684
"247","0-2","Female","frost",2,"AWS",295.265346534653,684
"248","0-2","Female","frost",2,"Azure",488.576732673267,684
"249","0-2","Female","frost",2,"GCP",531.879702970297,682
"250","0-2","Female","frost",2,"MogFace",542.369801980198,684
"251","0-2","Female","frost",2,"TinaFace",217.604950495049,619
"252","0-2","Female","frost",2,"Yolov5",431.518943894389,684
"253","0-2","Female","frost",3,"AWS",185.39900990099,684
"254","0-2","Female","frost",3,"Azure",381.006435643564,684
"255","0-2","Female","frost",3,"GCP",428.70396039604,682
"256","0-2","Female","frost",3,"MogFace",460.015841584158,684
"257","0-2","Female","frost",3,"TinaFace",127.206930693069,619
"258","0-2","Female","frost",3,"Yolov5",356.505610561056,684
"259","0-2","Female","frost",4,"AWS",163.667326732673,684
"260","0-2","Female","frost",4,"Azure",360.629207920792,684
"261","0-2","Female","frost",4,"GCP",413.551485148515,682
"262","0-2","Female","frost",4,"MogFace",445.465346534653,684
"263","0-2","Female","frost",4,"TinaFace",120.272277227723,619
"264","0-2","Female","frost",4,"Yolov5",331.489603960396,684
"265","0-2","Female","frost",5,"AWS",137.856930693069,684
"266","0-2","Female","frost",5,"Azure",314.79603960396,684
"267","0-2","Female","frost",5,"GCP",355.536633663366,682
"268","0-2","Female","frost",5,"MogFace",397.270792079208,684
"269","0-2","Female","frost",5,"TinaFace",72.8217821782178,619
"270","0-2","Female","frost",5,"Yolov5",278.351320132013,684
"271","0-2","Female","fog",1,"AWS",537.520462046205,684
"272","0-2","Female","fog",1,"Azure",636.835148514851,684
"273","0-2","Female","fog",1,"GCP",581.021782178218,682
"274","0-2","Female","fog",1,"MogFace",651.179207920792,684
"275","0-2","Female","fog",1,"TinaFace",516.541089108911,619
"276","0-2","Female","fog",1,"Yolov5",571.59769605532,684
"277","0-2","Female","fog",2,"AWS",506.316336633663,684
"278","0-2","Female","fog",2,"Azure",622.431683168317,684
"279","0-2","Female","fog",2,"GCP",478.656435643564,682
"280","0-2","Female","fog",2,"MogFace",637.742079207921,684
"281","0-2","Female","fog",2,"TinaFace",460.523762376238,619
"282","0-2","Female","fog",2,"Yolov5",549.961209335219,684
"283","0-2","Female","fog",3,"AWS",478.828712871287,684
"284","0-2","Female","fog",3,"Azure",600.697524752475,684
"285","0-2","Female","fog",3,"GCP",373.271782178218,682
"286","0-2","Female","fog",3,"MogFace",611.054950495049,684
"287","0-2","Female","fog",3,"TinaFace",419.119306930693,619
"288","0-2","Female","fog",3,"Yolov5",533.493619361936,684
"289","0-2","Female","fog",4,"AWS",432.15297029703,684
"290","0-2","Female","fog",4,"Azure",567.64504950495,684
"291","0-2","Female","fog",4,"GCP",293.350495049505,682
"292","0-2","Female","fog",4,"MogFace",578.182673267327,684
"293","0-2","Female","fog",4,"TinaFace",380.178712871287,619
"294","0-2","Female","fog",4,"Yolov5",520.726320132013,684
"295","0-2","Female","fog",5,"AWS",298.347524752475,684
"296","0-2","Female","fog",5,"Azure",474.619801980198,684
"297","0-2","Female","fog",5,"GCP",136.89900990099,682
"298","0-2","Female","fog",5,"MogFace",481.144059405941,684
"299","0-2","Female","fog",5,"TinaFace",189.514851485148,619
"300","0-2","Female","fog",5,"Yolov5",455.669273927393,684
"301","0-2","Female","brightness",1,"AWS",591.002887788779,684
"302","0-2","Female","brightness",1,"Azure",670.027722772277,684
"303","0-2","Female","brightness",1,"GCP",678.472277227723,682
"304","0-2","Female","brightness",1,"MogFace",679.322937293729,684
"305","0-2","Female","brightness",1,"TinaFace",596.387623762376,619
"306","0-2","Female","brightness",1,"Yolov5",620.50813217036,684
"307","0-2","Female","brightness",2,"AWS",578.983168316832,684
"308","0-2","Female","brightness",2,"Azure",664.15,684
"309","0-2","Female","brightness",2,"GCP",670.981683168317,682
"310","0-2","Female","brightness",2,"MogFace",670.74504950495,684
"311","0-2","Female","brightness",2,"TinaFace",572.554455445544,619
"312","0-2","Female","brightness",2,"Yolov5",609.040761433286,684
"313","0-2","Female","brightness",3,"AWS",555.706105610561,684
"314","0-2","Female","brightness",3,"Azure",652.722277227723,684
"315","0-2","Female","brightness",3,"GCP",658.328712871287,682
"316","0-2","Female","brightness",3,"MogFace",662.929207920792,684
"317","0-2","Female","brightness",3,"TinaFace",529.431188118812,619
"318","0-2","Female","brightness",3,"Yolov5",601.751485148515,684
"319","0-2","Female","brightness",4,"AWS",544.615676567657,684
