"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"147","0-18","Female","fog",4,"GCP",1971.75247524752,2385
"148","0-18","Female","fog",5,"AWS",2273.44636963696,2391
"149","0-18","Female","fog",5,"Azure",2244.74422442244,2382
"150","0-18","Female","fog",5,"GCP",1505.4702970297,2385
"151","0-18","Female","brightness",1,"AWS",2378.18811881188,2391
"152","0-18","Female","brightness",1,"Azure",2373.37623762376,2382
"153","0-18","Female","brightness",1,"GCP",2375.85148514851,2385
"154","0-18","Female","brightness",2,"AWS",2371.44554455446,2391
"155","0-18","Female","brightness",2,"Azure",2368.38448844884,2382
"156","0-18","Female","brightness",2,"GCP",2353.0297029703,2385
"157","0-18","Female","brightness",3,"AWS",2369.12871287129,2391
"158","0-18","Female","brightness",3,"Azure",2366.0495049505,2382
"159","0-18","Female","brightness",3,"GCP",2314.0198019802,2385
"160","0-18","Female","brightness",4,"AWS",2367.72277227723,2391
"161","0-18","Female","brightness",4,"Azure",2362.05940594059,2382
"162","0-18","Female","brightness",4,"GCP",2260.0396039604,2385
"163","0-18","Female","brightness",5,"AWS",2358.49834983498,2391
"164","0-18","Female","brightness",5,"Azure",2351.41584158416,2382
"165","0-18","Female","brightness",5,"GCP",2207.73267326733,2385
"166","0-18","Female","contrast",1,"AWS",2370.26072607261,2391
"167","0-18","Female","contrast",1,"Azure",2367.24752475248,2382
"168","0-18","Female","contrast",1,"GCP",2356.57425742574,2385
"169","0-18","Female","contrast",2,"AWS",2367.03300330033,2391
"170","0-18","Female","contrast",2,"Azure",2355.41584158416,2382
"171","0-18","Female","contrast",2,"GCP",2337.25742574257,2385
"172","0-18","Female","contrast",3,"AWS",2357.75247524752,2391
"173","0-18","Female","contrast",3,"Azure",2339.05610561056,2382
"174","0-18","Female","contrast",3,"GCP",2262.83168316832,2385
"175","0-18","Female","contrast",4,"AWS",2296.86138613861,2391
"176","0-18","Female","contrast",4,"Azure",2229.64356435644,2381
"177","0-18","Female","contrast",4,"GCP",1347.43564356436,2385
"178","0-18","Female","contrast",5,"AWS",1684.25742574257,2391
"179","0-18","Female","contrast",5,"Azure",1626.9603960396,2375
"180","0-18","Female","contrast",5,"GCP",76,2385
"181","0-18","Female","elastic-transform",1,"AWS",432.651815181518,2391
